"Trait" "Rep" "Acc.TotGen" "Model"
"316" "logRTWT" 16 0.308422895541598 "GG_GBS"
"317" "logRTWT" 17 0.339229395975596 "GG_GBS"
"318" "logRTWT" 18 0.306150979581543 "GG_GBS"
"319" "logRTWT" 19 0.346339188209426 "GG_GBS"
"320" "logRTWT" 20 0.319972211800587 "GG_GBS"
"321" "logRTWT" 21 0.319010699808127 "GG_GBS"
"322" "logRTWT" 22 0.319598105507166 "GG_GBS"
"323" "logRTWT" 23 0.310796580169147 "GG_GBS"
"324" "logRTWT" 24 0.317738592398371 "GG_GBS"
"325" "logRTWT" 25 0.306780710333049 "GG_GBS"
"326" "logRTNO" 1 0.35629160839527 "GG_GBS"
"327" "logRTNO" 2 0.341146887091104 "GG_GBS"
"328" "logRTNO" 3 0.324192099483551 "GG_GBS"
"329" "logRTNO" 4 0.366895759207005 "GG_GBS"
"330" "logRTNO" 5 0.355095557284253 "GG_GBS"
"331" "logRTNO" 6 0.327933560304104 "GG_GBS"
"332" "logRTNO" 7 0.363864799895056 "GG_GBS"
"333" "logRTNO" 8 0.333810817167748 "GG_GBS"
"334" "logRTNO" 9 0.323155904868363 "GG_GBS"
"335" "logRTNO" 10 0.359764242973684 "GG_GBS"
"336" "logRTNO" 11 0.345573125258301 "GG_GBS"
"337" "logRTNO" 12 0.367061599767118 "GG_GBS"
"338" "logRTNO" 13 0.349426482326958 "GG_GBS"
"339" "logRTNO" 14 0.321134602990431 "GG_GBS"
"340" "logRTNO" 15 0.331888796436766 "GG_GBS"
"341" "logRTNO" 16 0.33884856182642 "GG_GBS"
"342" "logRTNO" 17 0.323502997626146 "GG_GBS"
"343" "logRTNO" 18 0.35305733570633 "GG_GBS"
"344" "logRTNO" 19 0.36802350330955 "GG_GBS"
"345" "logRTNO" 20 0.379887362274615 "GG_GBS"
"346" "logRTNO" 21 0.338045497046531 "GG_GBS"
"347" "logRTNO" 22 0.338594358221776 "GG_GBS"
"348" "logRTNO" 23 0.329219556112599 "GG_GBS"
"349" "logRTNO" 24 0.360543620289368 "GG_GBS"
"350" "logRTNO" 25 0.330879630781073 "GG_GBS"
"351" "logSHTWT" 1 0.318321180260581 "GG_GBS"
"352" "logSHTWT" 2 0.325643942881993 "GG_GBS"
"353" "logSHTWT" 3 0.322646664309255 "GG_GBS"
"354" "logSHTWT" 4 0.304435767356155 "GG_GBS"
"355" "logSHTWT" 5 0.318586073239308 "GG_GBS"
"356" "logSHTWT" 6 0.301800839829063 "GG_GBS"
"357" "logSHTWT" 7 0.31525839189637 "GG_GBS"
"358" "logSHTWT" 8 0.330646277546198 "GG_GBS"
"359" "logSHTWT" 9 0.287153210142681 "GG_GBS"
"360" "logSHTWT" 10 0.365777329773152 "GG_GBS"
"361" "logSHTWT" 11 0.306412746432714 "GG_GBS"
"362" "logSHTWT" 12 0.301455367057198 "GG_GBS"
"363" "logSHTWT" 13 0.336351903937552 "GG_GBS"
"364" "logSHTWT" 14 0.330700295639742 "GG_GBS"
"365" "logSHTWT" 15 0.351767184657562 "GG_GBS"
"366" "logSHTWT" 16 0.328673274250221 "GG_GBS"
"367" "logSHTWT" 17 0.294729257621454 "GG_GBS"
"368" "logSHTWT" 18 0.321959687980915 "GG_GBS"
"369" "logSHTWT" 19 0.307670929818281 "GG_GBS"
"370" "logSHTWT" 20 0.314880408514574 "GG_GBS"
"371" "logSHTWT" 21 0.308176792123126 "GG_GBS"
"372" "logSHTWT" 22 0.374053978414236 "GG_GBS"
"373" "logSHTWT" 23 0.349452653849334 "GG_GBS"
"374" "logSHTWT" 24 0.308522907309273 "GG_GBS"
"375" "logSHTWT" 25 0.30618482987973 "GG_GBS"
"376" "DM" 1 0.550999871390741 "C1_IMP2"
"377" "DM" 2 0.550442678603648 "C1_IMP2"
"378" "DM" 3 0.566689467396945 "C1_IMP2"
"379" "DM" 4 0.542447593599507 "C1_IMP2"
"380" "DM" 5 0.580186970328435 "C1_IMP2"
"381" "DM" 6 0.521980083070988 "C1_IMP2"
"382" "DM" 7 0.565780286275091 "C1_IMP2"
